,k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度,normalized_density
205,205,39.63,359.7656668,0.0,1482597.403,47,135.2911446,36.10082112,-0.33290794866890766
206,206,30.83,359.7656668,569.0,0.0,44,135.3089209,36.10082112,-0.35875292804800957
207,207,2.1,359.7656668,95.0,0.0,5,135.3266971,36.10082112,-0.6947376599763341
208,208,0.0,0.0,0.0,0.0,0,135.3444733,36.10082112,
209,209,0.0,0.0,0.0,0.0,0,135.3622495,36.10082112,
210,210,2.2,0.0,0.0,0.0,0,135.3800258,36.10082112,
211,211,6.4,658.1882575,0.0,0.0,12,134.686753,36.1159426,-0.634432708091763
212,212,8.59,658.1882575,0.0,0.0,14,134.7045293,36.1159426,-0.6172027218390285
213,213,13.29,658.1882575,0.0,0.0,21,134.7223055,36.1159426,-0.5568977699544574
214,214,0.0,658.1882575,0.0,0.0,3,134.7400817,36.1159426,-0.7119676462290687
215,215,2.5,658.1882575,0.0,0.0,3,134.7578579,36.1159426,-0.7119676462290687
216,216,5.08,651.9192212,0.0,0.0,5,134.8289628,36.1159426,-0.6947376599763341
217,217,8.48,651.9192212,0.0,0.0,6,134.846739,36.1159426,-0.6861226668499668
218,218,29.61,651.9192212,0.0,0.0,24,134.8645153,36.1159426,-0.5310527905753555
219,219,64.72,651.9192212,0.0,0.0,48,134.8822915,36.1159426,-0.32429295554254034
220,220,71.74,651.9192212,0.0,0.0,103,134.9000677,36.1159426,0.14953166640766097
221,221,21.85,651.9192212,0.0,0.0,21,134.9178439,36.1159426,-0.5568977699544574
222,222,112.5,651.9192212,79.0,0.0,51,134.9356202,36.1159426,-0.2984479761634385
223,223,140.07,651.9192212,245.0,0.0,233,134.9533964,36.1159426,1.2694807728354096
224,224,32.9,662.6998292,0.0,0.0,49,134.9711726,36.1159426,-0.3156779624161731
225,225,29.37,765.1156058,0.0,0.0,28,134.9889488,36.1159426,-0.4965928180698863
226,226,18.75,651.9192212,0.0,0.0,25,135.0067251,36.1159426,-0.5224377974489882
227,227,34.77,1074.519057,0.0,0.0,13,135.0245013,36.1159426,-0.6258177149653957
228,228,79.22,0.0,0.0,0.0,120,135.0422775,36.1159426,0.29598654955590503
229,229,18.44,0.0,0.0,0.0,20,135.0600537,36.1159426,-0.5655127630808247
230,230,52.2,0.0,0.0,0.0,68,135.07783,36.1159426,-0.15199309301519442
231,231,21.46,381.9332153,0.0,0.0,22,135.0956062,36.1159426,-0.5482827768280901
232,232,11.21,383.3045529,0.0,0.0,24,135.1133824,36.1159426,-0.5310527905753555
233,233,9.69,410.457037,0.0,0.0,15,135.1311586,36.1159426,-0.6085877287126612
234,234,121.68,414.8453173,0.0,0.0,17,135.1489349,36.1159426,-0.5913577424599266
235,235,141.4,414.8453173,0.0,1380000.0,235,135.1667111,36.1159426,1.2867107590881441
236,236,39.95,414.8453173,0.0,0.0,45,135.1844873,36.1159426,-0.35013793492164225
