,town,Unnamed: 0,total_count,food,food_avg_spending,shopping,car,health,pet,education,life_service,entertainment,beauty,film_performance,sports,tourism,population_density,GaussianMixture_result,Kmeans_result
20,长寿路街道,20,0.1717542503863987,0.0160098522167487,0.1368056224030037,0.1590909090909091,0.3018867924528302,0.1482412060301507,0.0445344129554655,0.1104651162790697,0.3008130081300813,0.1587030716723549,0.1482112436115843,0.0742574257425742,0.1814058956916099,0.2832618025751073,0.5314386882709958,7,8
21,江桥镇,21,0.1678902627511591,0.2118226600985221,0.1237739034292866,0.1756198347107438,0.2991913746630728,0.1105527638190954,0.0708502024291498,0.1162790697674418,0.2384823848238482,0.0784982935153583,0.0494037478705281,0.0297029702970297,0.1360544217687075,0.1072961373390558,0.1005470375589158,0,2
22,华阳路街道,22,0.1667310664605873,0.1022167487684729,0.1470362048811014,0.3264462809917355,0.2102425876010781,0.1180904522613065,0.0121457489878542,0.1472868217054263,0.2140921409214092,0.068259385665529,0.1652470187393526,0.0247524752475247,0.0634920634920634,0.0858369098712446,0.5882355282224128,7,8
23,九亭镇,23,0.1644126738794435,0.1748768472906404,0.1008760951188986,0.1838842975206611,0.2048517520215633,0.1180904522613065,0.0728744939271255,0.1492248062015503,0.2384823848238482,0.1143344709897611,0.1448040885860306,0.0148514851485148,0.1201814058956916,0.0901287553648068,0.1344776870881507,0,2
24,七宝镇,24,0.1570710973724884,0.0110837438423645,0.0668891670087609,0.2231404958677686,0.2560646900269542,0.1407035175879397,0.0951417004048583,0.1937984496124031,0.1626016260162601,0.1245733788395904,0.0954003407155025,0.0544554455445544,0.1405895691609977,0.1716738197424892,0.236940230212584,7,8
25,南京西路街道,25,0.1535935085007727,0.1280788177339901,0.2330918455569461,0.3078512396694215,0.183288409703504,0.100502512562814,0.0101214574898785,0.063953488372093,0.2005420054200542,0.0716723549488054,0.1158432708688245,0.0594059405940594,0.0929705215419501,0.1545064377682403,0.3740166161992043,7,8
26,徐泾镇,26,0.1520479134466769,0.0,0.0,0.03099173553719,0.2237196765498652,0.1055276381909547,0.0323886639676113,0.1589147286821705,0.2981029810298103,0.0887372013651877,0.0988074957410562,0.0198019801980198,0.0816326530612245,0.1158798283261802,0.054687474681281,0,2
27,南翔镇,27,0.151081916537867,0.2536945812807882,0.1259462678347934,0.1632231404958677,0.1482479784366576,0.0979899497487437,0.034412955465587,0.1085271317829457,0.1951219512195122,0.0631399317406143,0.1141396933560477,0.0544554455445544,0.0839002267573696,0.111587982832618,0.069952292867312,0,2
28,安亭镇,28,0.1464451313755795,0.1453201970443349,0.1228442332540676,0.0764462809917355,0.339622641509434,0.1633165829145728,0.0263157894736842,0.1027131782945736,0.1761517615176151,0.0819112627986348,0.0357751277683134,0.0247524752475247,0.1065759637188208,0.1587982832618025,0.0433075863895137,0,2
29,陆家嘴街道,29,0.1464451313755795,0.2906403940886699,0.3980929551939925,0.2024793388429752,0.1266846361185984,0.1055276381909547,0.0161943319838056,0.0406976744186046,0.2764227642276423,0.0665529010238907,0.0971039182282793,0.1039603960396039,0.0181405895691609,0.0472103004291845,0.2708950361283878,7,8
30,虹桥镇,30,0.1418083462132921,0.0110837438423645,0.2992629675844806,0.1652892561983471,0.2398921832884097,0.1532663316582914,0.048582995951417,0.1046511627906976,0.2005420054200542,0.1143344709897611,0.1294718909710391,0.0445544554455445,0.1995464852607709,0.0772532188841201,0.250540813248862,7,8
31,顾村镇,31,0.1358191653786707,0.0960591133004926,0.0973652963579474,0.1384297520661157,0.1752021563342318,0.329145728643216,0.0546558704453441,0.0930232558139534,0.1598915989159891,0.046075085324232,0.0545144804088586,0.0346534653465346,0.0634920634920634,0.0987124463519313,0.0954773738462959,0,2
32,五角场镇,32,0.1327279752704791,0.0665024630541872,0.1445093404255319,0.0826446280991735,0.3045822102425876,0.2512562814070351,0.0283400809716599,0.0503875968992248,0.1436314363143631,0.0597269624573378,0.0357751277683134,0.0198019801980198,0.1065759637188208,0.055793991416309,0.3327221545222164,7,8
33,虹桥街道,33,0.1313755795981452,0.0677339901477832,0.3514165434292866,0.0785123966942148,0.2722371967654987,0.2010050251256281,0.0161943319838056,0.1240310077519379,0.2249322493224932,0.0887372013651877,0.0834752981260647,0.0445544554455445,0.1156462585034013,0.0772532188841201,0.2442864064429727,2,8
34,打浦桥街道,34,0.1288639876352395,0.0554187192118226,0.158503685106383,0.0516528925619834,0.1617250673854447,0.1105527638190954,0.020242914979757,0.1686046511627907,0.1653116531165311,0.0921501706484641,0.1158432708688245,0.0297029702970297,0.1156462585034013,0.094420600858369,0.6182668288309234,2,0
35,四川北路街道,35,0.125,0.0061576354679802,0.3466833541927409,0.2376033057851239,0.2102425876010781,0.1708542713567839,0.0060728744939271,0.1395348837209302,0.2737127371273712,0.068259385665529,0.06984667802385,0.0297029702970297,0.0634920634920634,0.2532188841201717,0.6352896684956403,7,8
36,长风新村街道,36,0.124806800618238,0.0049261083743842,0.1311013767209011,0.243801652892562,0.1482479784366576,0.0979899497487437,0.0222672064777327,0.1162790697674418,0.1924119241192411,0.0665529010238907,0.059625212947189,0.0346534653465346,0.1111111111111111,0.1158798283261802,0.3364551111778147,7,8
37,朱泾镇,37,0.1188176197836167,0.0,0.0,0.152892561983471,0.2587601078167116,0.2437185929648241,0.0425101214574898,0.1782945736434108,0.1409214092140921,0.1126279863481228,0.1243611584327086,0.0198019801980198,0.0249433106575963,0.0729613733905579,0.0265647418207696,0,2
38,静安寺街道,38,0.1170788253477588,0.0899014778325123,0.2625370754693367,0.1012396694214876,0.1617250673854447,0.1331658291457286,0.0060728744939271,0.0484496124031007,0.1490514905149051,0.0392491467576791,0.0971039182282793,0.099009900990099,0.0566893424036281,0.1416309012875536,0.3080585452732434,7,8
39,广中路街道,39,0.1149536321483771,0.0073891625615763,0.1526908635794743,0.2314049586776859,0.2803234501347709,0.0904522613065326,0.0263157894736842,0.1550387596899224,0.1897018970189702,0.083617747440273,0.0868824531516184,0.0049504950495049,0.0793650793650793,0.0600858369098712,0.7017344843691962,2,0
40,彭浦镇,40,0.1105100463678516,0.0480295566502463,0.1525624979974968,0.0681818181818181,0.353099730458221,0.2060301507537688,0.034412955465587,0.1569767441860465,0.1192411924119241,0.0494880546075085,0.0408858603066439,0.0297029702970297,0.0907029478458049,0.111587982832618,0.3224748428126762,7,8
41,天山路街道,41,0.1093508500772797,0.0751231527093596,0.2346991116395494,0.1673553719008264,0.1428571428571428,0.1130653266331658,0.0040485829959514,0.0852713178294573,0.1327913279132791,0.1160409556313993,0.0834752981260647,0.0742574257425742,0.1247165532879818,0.0257510729613733,0.6433046430060065,2,0
42,石化街道,42,0.1091576506955177,0.0,0.0,0.1900826446280991,0.1859838274932614,0.0904522613065326,0.020242914979757,0.1763565891472868,0.1734417344173441,0.098976109215017,0.1226575809199318,0.0099009900990099,0.0408163265306122,0.0600858369098712,0.0371612357883835,0,2
43,朱家角镇,43,0.1083848531684698,0.0,0.0,0.0082644628099173,0.105121293800539,0.1130653266331658,0.0080971659919028,0.0484496124031007,0.1300813008130081,0.0614334470989761,0.0204429301533219,0.0297029702970297,0.0521541950113378,0.3862660944206008,0.0115026314791086,0,2
44,嘉定镇街道,44,0.1056800618238021,0.1477832512315271,0.1261994158948686,0.1363636363636363,0.0727762803234501,0.14321608040201,0.0425101214574898,0.0872093023255814,0.1490514905149051,0.068259385665529,0.0442930153321976,0.0396039603960396,0.0748299319727891,0.0987124463519313,0.3381519661523581,7,8
45,岳阳街道,45,0.1043276661514683,0.2019704433497537,0.0917610427659574,0.1880165289256198,0.1078167115902965,0.100502512562814,0.0263157894736842,0.0426356589147286,0.1571815718157181,0.0358361774744027,0.0425894378194207,0.0198019801980198,0.0408163265306122,0.0987124463519313,0.332296212670794,7,8
46,瑞金二路街道,46,0.1002704791344667,0.0381773399014778,0.2174088578222778,0.0888429752066115,0.1536388140161725,0.1105527638190954,0.0060728744939271,0.0620155038759689,0.1111111111111111,0.046075085324232,0.0766609880749574,0.0742574257425742,0.0294784580498866,0.2317596566523605,0.4228570519206702,7,8
